TIME,L1
1.0000,8825.5606
2.0000,8703.8446
3.0000,8623.9776
4.0000,8519.5266
5.0000,8514.0706
6.0000,8338.0196
7.0000,8289.1686
8.0000,8212.9896
9.0000,8133.6866
10.0000,8189.4806
11.0000,7999.4956
12.0000,8033.9226
13.0000,8026.3586
14.0000,8032.2316
15.0000,7969.1236
16.0000,7941.6836
17.0000,7776.4486
18.0000,7810.4406
19.0000,7719.8086
20.0000,7807.1556
21.0000,7777.6006
22.0000,7913.2636
23.0000,8091.8926
24.0000,8163.7996
25.0000,8464.2336
26.0000,8832.7996
27.0000,9344.8926
28.0000,9626.6676
29.0000,9806.3486
30.0000,9817.0826
31.0000,9792.3566
32.0000,9932.7006
33.0000,10122.6176
34.0000,10518.3396
35.0000,10755.6356
36.0000,10994.1936
37.0000,11192.4416
38.0000,11183.3966
39.0000,11336.1876
40.0000,11430.3876
41.0000,11588.4986
42.0000,11574.4226
43.0000,11654.3126
44.0000,11749.8506
45.0000,11844.5996
46.0000,11812.8866
47.0000,11763.9286
48.0000,11539.9396
49.0000,11099.7306
50.0000,10594.2896
51.0000,10493.0886
52.0000,10488.9996
53.0000,10398.1866
54.0000,10360.0586
55.0000,10459.9396
56.0000,10499.3116
57.0000,10597.3826
58.0000,10772.9366
59.0000,10935.2466
60.0000,10978.0166
61.0000,11092.3896
62.0000,11128.4326
63.0000,11229.4836
64.0000,11220.6376
65.0000,11147.1496
66.0000,11463.3346
67.0000,11701.8476
68.0000,12056.8096
69.0000,12368.2046
70.0000,12657.8666
71.0000,12620.5716
72.0000,12569.4086
73.0000,12422.7696
74.0000,12270.4566
75.0000,12089.4636
76.0000,12237.3006
77.0000,12196.1976
78.0000,12293.1086
79.0000,12503.9806
80.0000,12493.7956
81.0000,12353.7376
82.0000,12193.6336
83.0000,12097.2056
84.0000,11931.1026
85.0000,11787.9796
86.0000,11795.0206
87.0000,11682.3286
88.0000,11458.0116
89.0000,11189.9966
90.0000,10908.3096
91.0000,10641.4326
92.0000,10370.0446
93.0000,10071.7796
94.0000,9838.7236
95.0000,9631.9836
96.0000,9460.5156
